"code","name"
"01801","Gettysburg Borough"
"01802","Littlestown Borough"
"01803","McSherrystown Borough"
"01904","Abbottstown Borough"
"01905","Arendtsville Borough"
"01906","Bendersville Borough"
"01907","Berwick Township"
"01908","Biglerville Borough"
"01909","Butler Township"
"01910","Conewago Township"
"01911","Cumberland Township"
"01912","East Berlin Borough"
"01913","Fairfield Borough"
"01914","McKnightstown"
"01914","Franklin Township"
"01915","Freedom Township"
"01916","Germany Township"
"01917","Hamilton Township"
"01918","Hamiltonban Township"
"01919","Highland Township"
"01920","Huntington Township"
"01921","Latimore Township"
"01922","Liberty Township"
"01923","Menallen Township"
"01923","Aspers"
"01924","Mt. Joy Township"
"01925","Mt. Pleasant Township"
"01926","New Oxford Borough"
"01927","Oxford Township"
"01928","Reading Township"
"01929","Straban Township"
"01930","Gardners"
"01930","Tyrone Township"
"01931","Union Township"
"01932","York Springs Borough"
"01933","Bonneauville Borough"
"01934","Carroll Valley Borough"
"02001","CITY OF PITTSBURGH"
"02002","Arlington"
"02003","Banksville"
"02004","Beechview"
"02005","Beltzhoover"
"02006","Bloomfield"
"02007","Bluff"
"02008","Bon Air"
"02009","Brighton Heights"
"02010","Broadhead Fdg."
"02011","Brookline"
"02012","Brunots Island"
"02013","Carrick"
"02014","Chateau"
"02015","Chicken Hill"
"02016","Crafton Heights"
"02017","Downtown"
"02018","Duquesne Heights"
"02019","East Carnegie"
"02020","East Liberty"
"02021","Elliott"
"02022","Esplen"
"02023","Garfield"
"02024","Greenfield"
"02025","Hazelwood"
"02026","Herron Hill"
"02027","Herr's Island"
"02028","Highland"
"02029","Homewood"
"02030","Knoxville"
"02031","Larimer"
"02032","Lawrenceville"
"02033","Lincoln"
"02034","Lower Hill"
"02035","Manchester"
"02036","Middle Hill"
"02037","Morningside"
"02038","Mount Washington"
"02039","Northview Heights"
"02040","North Side"
"02041","Oakland"
"02042","Oakwood"
"02043","Penn Park"
"02044","Perry North"
"02045","Perry South"
"02046","Point Breeze"
"02047","Polish Hill"
"02048","Shadeland"
"02049","Shadyside"
"02050","Sheridan"
"02051","Soho"
"02052","South Side"
"02053","Spring Hill"
"02054","Squirrel Hill"
"02055","Stanton Heights"
"02056","St. Clair"
"02057","Troy Hill"
"02058","West End"
"02059","Westwood"
"02060","Woods Run"
"02061","31st Ward"
"02062","Allentown"
"02111","Penn Hills Township"
"02112","McKeesport"
"02113","Mt. Lebanon Township"
"02114","Ross Township"
"02115","West Mifflin Borough"
"02116","Wilkinsburg Borough"
"02117","Baldwin Borough"
"02118","Bellevue Borough"
"02119","Bethel Park Borough"
"02120","Braddock Borough"
"02121","Brentwood Borough"
"02122","Carnegie Borough"
"02123","Castle Shannon Borough"
"02124","Clairton"
