StartDate	Text26	Course#	Class#	COURSENAME	Text28	Text30	Text32	ClassLoc	Contact	ContTel#
2/25/2003	18:30	2002	030610	Hazardous Materials R & I Refresher	2.00	2.00	2.00	Enon Valley VFD	Tina Marshall	(724) 658-0389
2/25/2003	18:00	2012	030422	HazMat Operations Refresher HMOR	5.50	5.50	5.50	Monongahela FD	Brian Check	(724) 287-8711
2/25/2003	19:00	9993	030382	Case Review	3.00	3.00	3.00	Latrobe Hospital	Keith Stouffer	(724) 537-1578
2/25/2003	18:00	1750	030485	Environmental Emergencies	2.00	2.00	2.00	Northwest EMS	Brad Kaiser	(412) 761-2200
2/26/2003	19:00	9993	030451	Case Review	3.00	3.00	3.00	Community College of Beaver Co	Jim Campese	(724) 775-8561
2/26/2003	18:30	9993	030586	Case Review	3.00	3.00	3.00	Mt Pleasant FD	Marc Taylor	(724) 547-1466
2/26/2003	18:30	9993	030633	Case Review	3.00	3.00	3.00	Westmoreland Hospital	Marc Taylor	(724) 834-4320
2/26/2003	16:30	1014	030264	ACLS Refresher - Accelerated			6.00	Valley Ambulance	Judith Haluka	(412) 262-5736
2/26/2003	18:00	2101	030611	Terrorism Awareness (TADP)	4.00	4.00	4.00	Shenango VFD	Tina Marshall	(724) 658-0389
2/26/2003	19:00	9992	030578	Case Review: Grand Rounds - 2 Hours	2.00	2.00	2.00	Allie Kiski Center	William Held	(412) 359-4955
2/26/2003	8:00	1001	030050	ACLS	0.00	0.00	16.00	Alle Kiski Center	Michael Gannon	(412) 359-3923
2/27/2003	16:00	250	030655	Airway & Airway Practical Lab	6.00	6.00	6.00	Perryopolis Amb	Mary Popovich	(724) 323-6706
2/27/2003	12:00	2058	030598	Domestic Preparedness:TechnicianEMS	8.00	8.00	8.00	Valley Ambulance	Jim Blosser	(412) 232-5906
2/27/2003	8:00	2079	030479	WMD Hospital Provider Course	3.00	3.00	3.00	Canonsburg Hospital	CCAC	(412) 237-2500
2/27/2003	8:00	1004	030555	PALS-R	0.00	0.00	8.00	UPMC South Side	CCAC	(412) 237-2500
2/27/2003	19:00	2086	030645	Carbon Monoxide Detector Resp (CORE	1.50	1.50	1.50	BCCC	Brian Check	(724) 287-8711
2/27/2003	9:00	5272	030034	Patient Assessment/Transition Cours	10.00	10.00	10.00	Hamer Hall	Barbara Webb	(724) 938-5956
2/27/2003	19:00	2120	030605	Nuclear Biological Chemical 101 Sem	3.00	3.00	3.00	Baden VFD	Kathy Mattern	(724) 266-9111
2/28/2003	7:00	1002	030507	ACLS - R	0.00	0.00	8.00	Mercy Hospital	Jim Blosser	(412) 232-5906
3/1/2003	12:00	8131	030702	Pulse/EM 2003/03 Psych Emerg	1.50	1.50	1.50	Mon Valley	Linda Zidek	(724) 258-1072
3/1/2003	18:30	6080	030487	PA Essentials Fire Fighting (EBM)	9.50	9.50	9.50	Mt Lebanon FD	CCAC	(412) 237-2500
3/1/2003	8:00	2070	030559	Emergency Response to Terrorism	8.00	8.00	8.00	BCCC	Brian Check	(724) 287-8711
3/1/2003	8:00	6092	030653	Basic Vehicle Res-Ops-DOH (DHVRO)	11.00	11.00	11.00	Dunbar VFd	Brian Check	(724) 287-8711
3/1/2003	15:00	9832	030601	ALS ASSISTANT COURSE	0.00	13.50	0.00	Guardian Angel	Linda Coen	(412) 462-1400
3/4/2003	7:30	1047	030612	12 Lead for Paramedic	0.00	0.00	8.00	Mon Valley EMS	Linda Zidek	(724) 258-1072
3/4/2003	6:30	2011	030580	IAFF HazMat Trng - First Responders	21.50	21.50	21.50	Allegheny Ludlum	Willaim Held	(412) 359-4955
3/4/2003	14:00	9991	030637	Case Review: Grand Rounds - 1 Hour	1.00	1.00	1.00	Valley Ambulance	Linda Kelley	(412) 262-2621
3/5/2003	21:00	7822	030296	Spinal Care	1.50	1.50	1.50	Valley Ambulance	MC Nash	(412) 749-7120
3/5/2003	19:00	7600	030297	Soft Tissue Injuries	2.00	2.00	2.00	Valley Ambulance	MC Nash	(412) 749-7120
3/5/2003	18:30	4011	030338	Pediatric Patients	2.00	2.00	2.00	Ross West View EMS	Ed Davies	(412) 931-8200
3/5/2003	8:00	1001	030305	ACLS	0.00	0.00	16.00	BCCC	Vern Smith	(724) 287-8711
3/6/2003	16:00	5254	030656	Detailed Physical Exam	1.00	1.00	1.00	Perryopolis Amb	Mary Popovich	(724) 323-6706
3/6/2003	17:00	4023	030657	Brain Attack Program	2.00	2.00	2.00	Perryopolis Amb	Mary Popovich	(724) 323-6706
3/6/2003	19:00	4003	030658	Cardiac Emergencies	2.50	3.00	3.00	Perryopolis Amb	Mary Popovich	(274) 323-6706
